ticker,cik,filing_date,link,long_term_outlook
AN,350698,28-03-1996,https://www.sec.gov/Archives/edgar/data/350698/0000950144-96-001288.txt,1
FTR,20520,28-02-2008,https://www.sec.gov/Archives/edgar/data/20520/000002052008000013/0000020520-08-000013.txt,0
KEY,91576,28-02-2008,https://www.sec.gov/Archives/edgar/data/91576/000095015208001528/0000950152-08-001528.txt,0
BAC,70858,25-02-2011,https://www.sec.gov/Archives/edgar/data/70858/000095012311018743/0000950123-11-018743.txt,0
FTR,20520,15-03-2004,https://www.sec.gov/Archives/edgar/data/20520/000002052004000011/0000020520-04-000011.txt,1
XLNX,743988,17-06-2002,https://www.sec.gov/Archives/edgar/data/743988/000101287002002739/0001012870-02-002739.txt,0
WU,1365135,26-02-2008,https://www.sec.gov/Archives/edgar/data/1365135/000119312508038154/0001193125-08-038154.txt,0
CERN,804753,28-03-1997,https://www.sec.gov/Archives/edgar/data/804753/0000804753-97-000010.txt,1
MTB,36270,24-03-1995,https://www.sec.gov/Archives/edgar/data/36270/0000889749-95-000005.txt,1
SHW,89800,14-03-2002,https://www.sec.gov/Archives/edgar/data/89800/000095015202001777/0000950152-02-001777.txt,1
MAT,63276,27-02-2006,https://www.sec.gov/Archives/edgar/data/63276/000119312506039887/0001193125-06-039887.txt,1
INTC,50863,23-03-2000,https://www.sec.gov/Archives/edgar/data/50863/0001012870-00-001562.txt,0
JNPR,1043604,19-02-2016,https://www.sec.gov/Archives/edgar/data/1043604/000104360416000219/0001043604-16-000219.txt,1
MON,1110783,27-10-2010,https://www.sec.gov/Archives/edgar/data/1110783/000095012310096537/0000950123-10-096537.txt,0
IP,51434,22-02-2017,https://www.sec.gov/Archives/edgar/data/51434/000005143417000007/0000051434-17-000007.txt,1
MCO,1059556,02-03-2009,https://www.sec.gov/Archives/edgar/data/1059556/000119312509041352/0001193125-09-041352.txt,1
XOM,34088,28-02-2006,https://www.sec.gov/Archives/edgar/data/34088/000119312506040951/0001193125-06-040951.txt,1
DAL,27904,11-02-2015,https://www.sec.gov/Archives/edgar/data/27904/000002790415000003/0000027904-15-000003.txt,1
HBAN,49196,05-03-2004,https://www.sec.gov/Archives/edgar/data/49196/000119312504035604/0001193125-04-035604.txt,1
FTR,20520,12-03-2002,https://www.sec.gov/Archives/edgar/data/20520/000002052002000007/0000020520-02-000007.txt,0
MYL,69499,23-06-2000,https://www.sec.gov/Archives/edgar/data/69499/000006949900500019/0000069499-00-500019.txt,1
PFE,78003,25-03-1994,https://www.sec.gov/Archives/edgar/data/78003/0000891554-94-000029.txt,1
LUV,92380,28-03-1996,https://www.sec.gov/Archives/edgar/data/92380/0000950134-96-000944.txt,0
PNC,713676,02-03-2015,https://www.sec.gov/Archives/edgar/data/713676/000119312515070443/0001193125-15-070443.txt,1
WMT,104169,21-03-2014,https://www.sec.gov/Archives/edgar/data/104169/000010416914000019/0000104169-14-000019.txt,1
AVY,8818,31-03-1999,https://www.sec.gov/Archives/edgar/data/8818/0000898430-99-001342.txt,1
ALXN,899866,06-02-2015,https://www.sec.gov/Archives/edgar/data/899866/000089986615000016/0000899866-15-000016.txt,1
FSLR,1274494,21-02-2008,https://www.sec.gov/Archives/edgar/data/1274494/000095015308000367/0000950153-08-000367.txt,0
ADSK,769397,20-03-2009,https://www.sec.gov/Archives/edgar/data/769397/000119312509059920/0001193125-09-059920.txt,1
WY,106535,24-02-2017,https://www.sec.gov/Archives/edgar/data/106535/000010653517000007/0000106535-17-000007.txt,1
AMT,1053507,27-02-2017,https://www.sec.gov/Archives/edgar/data/1053507/000105350717000009/0001053507-17-000009.txt,1
QCOM,804328,02-11-2011,https://www.sec.gov/Archives/edgar/data/804328/000123445211000360/0001234452-11-000360.txt,1
KEY,91576,28-02-2006,https://www.sec.gov/Archives/edgar/data/91576/000095015206001519/0000950152-06-001519.txt,1
MRK,310158,28-02-1996,https://www.sec.gov/Archives/edgar/data/310158/0000310158-96-000005.txt,1
NWL,814453,16-02-2006,https://www.sec.gov/Archives/edgar/data/814453/000095013706001966/0000950137-06-001966.txt,1
VMC,1396009,25-02-2016,https://www.sec.gov/Archives/edgar/data/1396009/000139600916000044/0001396009-16-000044.txt,1
GPC,40987,28-02-2007,https://www.sec.gov/Archives/edgar/data/40987/000095014407001699/0000950144-07-001699.txt,1
FOSL,883569,04-04-2003,https://www.sec.gov/Archives/edgar/data/883569/000110465903006038/0001104659-03-006038.txt,1
MYL,69499,17-06-2002,https://www.sec.gov/Archives/edgar/data/69499/000006949902000016/0000069499-02-000016.txt,0
MRO,101778,28-02-2011,https://www.sec.gov/Archives/edgar/data/101778/000119312511047891/0001193125-11-047891.txt,1
WY,106535,27-02-2009,https://www.sec.gov/Archives/edgar/data/106535/000119312509039546/0001193125-09-039546.txt,1
CI,701221,28-02-2003,https://www.sec.gov/Archives/edgar/data/701221/000095015903000165/0000950159-03-000165.txt,1
XOM,34088,22-02-2017,https://www.sec.gov/Archives/edgar/data/34088/000003408817000017/0000034088-17-000017.txt,0
NSC,702165,06-02-2017,https://www.sec.gov/Archives/edgar/data/702165/000070216517000018/0000702165-17-000018.txt,1
FL,850209,19-05-2003,https://www.sec.gov/Archives/edgar/data/850209/000095012303006233/0000950123-03-006233.txt,1
EXPD,746515,23-02-2017,https://www.sec.gov/Archives/edgar/data/746515/000074651517000007/0000746515-17-000007.txt,1
PFG,1126328,12-03-2002,https://www.sec.gov/Archives/edgar/data/1126328/000112632802000031/0001126328-02-000031.txt,1
MTB,36270,26-02-2004,https://www.sec.gov/Archives/edgar/data/36270/000095015204001428/0000950152-04-001428.txt,1
CNP,1130310,16-03-2006,https://www.sec.gov/Archives/edgar/data/1130310/000095013406005252/0000950134-06-005252.txt,1
NWL,814453,19-03-1999,https://www.sec.gov/Archives/edgar/data/814453/0000895813-99-000143.txt,0
CVX,93410,26-02-2009,https://www.sec.gov/Archives/edgar/data/93410/000089161809000054/0000891618-09-000054.txt,1
GPS,39911,05-04-2001,https://www.sec.gov/Archives/edgar/data/39911/000092962401000565/0000929624-01-000565.txt,0
EQR,906107,24-02-2012,https://www.sec.gov/Archives/edgar/data/906107/000090610712000004/0000906107-12-000004.txt,1
IBM,51143,25-02-2014,https://www.sec.gov/Archives/edgar/data/51143/000104746914001302/0001047469-14-001302.txt,0
MAS,62996,18-02-2011,https://www.sec.gov/Archives/edgar/data/62996/000095012311015716/0000950123-11-015716.txt,0
CI,701221,26-02-2009,https://www.sec.gov/Archives/edgar/data/701221/000089322009000405/0000893220-09-000405.txt,1
OI,812074,29-02-2008,https://www.sec.gov/Archives/edgar/data/812074/000110465908014206/0001104659-08-014206.txt,0
XLNX,743988,12-06-2001,https://www.sec.gov/Archives/edgar/data/743988/000101287001501165/0001012870-01-501165.txt,0
TMK,320335,12-03-1999,https://www.sec.gov/Archives/edgar/data/320335/0000931763-99-000710.txt,0
HON,773840,06-03-2003,https://www.sec.gov/Archives/edgar/data/773840/000095011703000910/0000950117-03-000910.txt,1
EMR,32604,22-12-1994,https://www.sec.gov/Archives/edgar/data/32604/0000032604-94-000022.txt,1
KO,21344,21-02-2007,https://www.sec.gov/Archives/edgar/data/21344/000104746907001328/0001047469-07-001328.txt,1
GMCR,909954,22-12-2003,https://www.sec.gov/Archives/edgar/data/909954/000090995403000045/0000909954-03-000045.txt,1
AZO,866787,28-10-2013,https://www.sec.gov/Archives/edgar/data/866787/000119312513413428/0001193125-13-413428.txt,1
DNR,945764,28-02-2012,https://www.sec.gov/Archives/edgar/data/945764/000094576412000013/0000945764-12-000013.txt,1
REGN,872589,11-02-2016,https://www.sec.gov/Archives/edgar/data/872589/000153217616000045/0001532176-16-000045.txt,0
KO,21344,28-02-2006,https://www.sec.gov/Archives/edgar/data/21344/000104746906002588/0001047469-06-002588.txt,1
ADM,7084,28-09-2000,https://www.sec.gov/Archives/edgar/data/7084/000000708400000039/0000007084-00-000039.txt,1
VMC,1396009,27-02-2015,https://www.sec.gov/Archives/edgar/data/1396009/000139600915000005/0001396009-15-000005.txt,1
MYL,69499,30-05-2007,https://www.sec.gov/Archives/edgar/data/69499/000095015207004808/0000950152-07-004808.txt,0
DNR,945764,15-03-2005,https://www.sec.gov/Archives/edgar/data/945764/000089907805000209/0000899078-05-000209.txt,1
DTE,936340,24-03-2003,https://www.sec.gov/Archives/edgar/data/936340/000095012403000824/0000950124-03-000824.txt,0
ADSK,769397,23-03-2016,https://www.sec.gov/Archives/edgar/data/769397/000076939716000067/0000769397-16-000067.txt,1
AXP,4962,01-03-2007,https://www.sec.gov/Archives/edgar/data/4962/000095012307003020/0000950123-07-003020.txt,0
REGN,872589,21-02-2012,https://www.sec.gov/Archives/edgar/data/872589/000120677412000709/0001206774-12-000709.txt,1
WMT,104169,31-03-2005,https://www.sec.gov/Archives/edgar/data/104169/000119312505066992/0001193125-05-066992.txt,0
CBG,1138118,01-03-2007,https://www.sec.gov/Archives/edgar/data/1138118/000119312507044383/0001193125-07-044383.txt,0
AN,350698,15-02-2013,https://www.sec.gov/Archives/edgar/data/350698/000035069813000021/0000350698-13-000021.txt,1
SNDK,1000180,25-02-2009,https://www.sec.gov/Archives/edgar/data/1000180/000100018009000011/0001000180-09-000011.txt,1
SHW,89800,24-02-2016,https://www.sec.gov/Archives/edgar/data/89800/000008980016000026/0000089800-16-000026.txt,1
GD,40533,07-02-2014,https://www.sec.gov/Archives/edgar/data/40533/000004053314000002/0000040533-14-000002.txt,1
BAC,70858,01-03-2005,https://www.sec.gov/Archives/edgar/data/70858/000119312505039878/0001193125-05-039878.txt,1
MYL,69499,26-06-2001,https://www.sec.gov/Archives/edgar/data/69499/000006949901500029/0000069499-01-500029.txt,1
XRX,108772,21-02-2006,https://www.sec.gov/Archives/edgar/data/108772/000119312506034814/0001193125-06-034814.txt,1
PBCT,1378946,02-03-2015,https://www.sec.gov/Archives/edgar/data/1378946/000119312515073217/0001193125-15-073217.txt,1
CELG,816284,13-02-2014,https://www.sec.gov/Archives/edgar/data/816284/000144530514000438/0001445305-14-000438.txt,1
ADSK,769397,21-03-2017,https://www.sec.gov/Archives/edgar/data/769397/000076939717000014/0000769397-17-000014.txt,1
CMS,811156,30-03-2000,https://www.sec.gov/Archives/edgar/data/811156/0000950124-00-001799.txt,1
PGR,80661,28-03-1995,https://www.sec.gov/Archives/edgar/data/80661/0000950152-95-000465.txt,1
CBG,1138118,15-03-2006,https://www.sec.gov/Archives/edgar/data/1138118/000119312506055100/0001193125-06-055100.txt,0
WAT,1000697,27-02-2014,https://www.sec.gov/Archives/edgar/data/1000697/000119312514072515/0001193125-14-072515.txt,1
ARG,804212,14-06-2004,https://www.sec.gov/Archives/edgar/data/804212/000089322004001186/0000893220-04-001186.txt,1
DTE,936340,27-02-2009,https://www.sec.gov/Archives/edgar/data/936340/000095015209001957/0000950152-09-001957.txt,1
GPC,40987,26-02-2016,https://www.sec.gov/Archives/edgar/data/40987/000119312516479829/0001193125-16-479829.txt,1
JNJ,200406,01-03-2010,https://www.sec.gov/Archives/edgar/data/200406/000095012310019392/0000950123-10-019392.txt,0
PBCT,1378946,29-02-2016,https://www.sec.gov/Archives/edgar/data/1378946/000119312516485012/0001193125-16-485012.txt,1
SBUX,829224,29-11-2007,https://www.sec.gov/Archives/edgar/data/829224/000095013407024667/0000950134-07-024667.txt,0
JPM,19617,25-03-1997,https://www.sec.gov/Archives/edgar/data/19617/0000950123-97-002412.txt,1
IP,51434,29-02-2008,https://www.sec.gov/Archives/edgar/data/51434/000119312508042850/0001193125-08-042850.txt,0
APC,773910,03-03-2006,https://www.sec.gov/Archives/edgar/data/773910/000095012906002239/0000950129-06-002239.txt,0
GE,40545,20-02-2008,https://www.sec.gov/Archives/edgar/data/40545/000004054508000011/0000040545-08-000011.txt,0
SNDK,1000180,25-02-2010,https://www.sec.gov/Archives/edgar/data/1000180/000100018010000008/0001000180-10-000008.txt,1
PNR,77360,31-03-1995,https://www.sec.gov/Archives/edgar/data/77360/0000077360-95-000006.txt,1
IVZ,914208,24-02-2012,https://www.sec.gov/Archives/edgar/data/914208/000091420812000332/0000914208-12-000332.txt,1
DLTR,935703,17-03-2000,https://www.sec.gov/Archives/edgar/data/935703/0000935703-00-000011.txt,0
XOM,34088,27-03-2002,https://www.sec.gov/Archives/edgar/data/34088/000093066102000889/0000930661-02-000889.txt,0
SHW,89800,24-02-2009,https://www.sec.gov/Archives/edgar/data/89800/000095015209001707/0000950152-09-001707.txt,1
MMC,62709,26-02-2010,https://www.sec.gov/Archives/edgar/data/62709/000119312510042765/0001193125-10-042765.txt,1
DLTR,935703,14-03-2014,https://www.sec.gov/Archives/edgar/data/935703/000093570314000008/0000935703-14-000008.txt,1
VMC,1396009,24-02-2017,https://www.sec.gov/Archives/edgar/data/1396009/000139600917000005/0001396009-17-000005.txt,1
EBAY,1065088,06-02-2015,https://www.sec.gov/Archives/edgar/data/1065088/000106508815000054/0001065088-15-000054.txt,1
ED,1047862,27-03-2002,https://www.sec.gov/Archives/edgar/data/1047862/000091205702011931/0000912057-02-011931.txt,1
CBG,1138118,29-02-2008,https://www.sec.gov/Archives/edgar/data/1138118/000119312508043674/0001193125-08-043674.txt,0
RSG,1060391,02-03-2009,https://www.sec.gov/Archives/edgar/data/1060391/000095015309000172/0000950153-09-000172.txt,1
UNP,100885,24-02-2006,https://www.sec.gov/Archives/edgar/data/100885/000119312506038383/0001193125-06-038383.txt,1
MHK,851968,27-02-2017,https://www.sec.gov/Archives/edgar/data/851968/000085196817000020/0000851968-17-000020.txt,1
NWL,814453,01-03-2007,https://www.sec.gov/Archives/edgar/data/814453/000095013707003109/0000950137-07-003109.txt,0
WMB,107263,15-03-2004,https://www.sec.gov/Archives/edgar/data/107263/000095013404003499/0000950134-04-003499.txt,1
LH,920148,25-02-2014,https://www.sec.gov/Archives/edgar/data/920148/000092014814000021/0000920148-14-000021.txt,1
CELG,816284,30-03-2000,https://www.sec.gov/Archives/edgar/data/816284/0001005150-00-000449.txt,1
GE,40545,26-02-2013,https://www.sec.gov/Archives/edgar/data/40545/000004054513000036/0000040545-13-000036.txt,1
AN,350698,11-02-2015,https://www.sec.gov/Archives/edgar/data/350698/000035069815000045/0000350698-15-000045.txt,0
MRK,310158,28-02-2013,https://www.sec.gov/Archives/edgar/data/310158/000119312513084618/0001193125-13-084618.txt,1
PXD,1038357,25-02-2009,https://www.sec.gov/Archives/edgar/data/1038357/000103835709000008/0001038357-09-000008.txt,1
DNR,945764,01-03-2017,https://www.sec.gov/Archives/edgar/data/945764/000094576417000013/0000945764-17-000013.txt,0
VFC,103379,02-03-2011,https://www.sec.gov/Archives/edgar/data/103379/000095012311021306/0000950123-11-021306.txt,1
ZTS,1555280,26-03-2014,https://www.sec.gov/Archives/edgar/data/1555280/000155528014000164/0001555280-14-000164.txt,1
HIG,874766,12-02-2009,https://www.sec.gov/Archives/edgar/data/874766/000136231009001777/0001362310-09-001777.txt,1
PNC,713676,31-03-1995,https://www.sec.gov/Archives/edgar/data/713676/0000950128-95-000076.txt,1
XRX,108772,28-03-1996,https://www.sec.gov/Archives/edgar/data/108772/0000108772-96-000005.txt,1
APH,820313,22-02-2013,https://www.sec.gov/Archives/edgar/data/820313/000110465913013180/0001104659-13-013180.txt,1
TWX,1105705,22-02-2008,https://www.sec.gov/Archives/edgar/data/1105705/000095014408001291/0000950144-08-001291.txt,0
MCO,1059556,25-02-2016,https://www.sec.gov/Archives/edgar/data/1059556/000119312516476427/0001193125-16-476427.txt,0
IP,51434,27-02-2014,https://www.sec.gov/Archives/edgar/data/51434/000005143414000003/0000051434-14-000003.txt,1
PFE,78003,28-02-2013,https://www.sec.gov/Archives/edgar/data/78003/000007800313000006/0000078003-13-000006.txt,1
WFC,72971,15-03-2002,https://www.sec.gov/Archives/edgar/data/72971/000091205702010174/0000912057-02-010174.txt,1
ACE,896159,28-02-2013,https://www.sec.gov/Archives/edgar/data/896159/000089615913000003/0000896159-13-000003.txt,1
PXD,1038357,27-02-2014,https://www.sec.gov/Archives/edgar/data/1038357/000103835714000022/0001038357-14-000022.txt,0
MMM,66740,14-02-2013,https://www.sec.gov/Archives/edgar/data/66740/000110465913010881/0001104659-13-010881.txt,1
IP,51434,31-03-1994,https://www.sec.gov/Archives/edgar/data/51434/0000950115-94-000073.txt,1
LMT,936468,07-03-2002,https://www.sec.gov/Archives/edgar/data/936468/000092838502000673/0000928385-02-000673.txt,1
ED,1047862,21-02-2007,https://www.sec.gov/Archives/edgar/data/1047862/000119312507036143/0001193125-07-036143.txt,1
DIS,1001039,10-12-2001,https://www.sec.gov/Archives/edgar/data/1001039/000089843001503823/0000898430-01-503823.txt,0
DLTR,935703,13-04-2004,https://www.sec.gov/Archives/edgar/data/935703/000093570304000034/0000935703-04-000034.txt,0
MRO,101778,27-02-2009,https://www.sec.gov/Archives/edgar/data/101778/000119312509041003/0001193125-09-041003.txt,1
DE,315189,20-12-2007,https://www.sec.gov/Archives/edgar/data/315189/000110465907090067/0001104659-07-090067.txt,1
ALXN,899866,29-10-2002,https://www.sec.gov/Archives/edgar/data/899866/000092701602005101/0000927016-02-005101.txt,0
SYK,310764,14-03-2003,https://www.sec.gov/Archives/edgar/data/310764/000031076403000008/0000310764-03-000008.txt,1
JEC,52988,13-12-2004,https://www.sec.gov/Archives/edgar/data/52988/000119312504211891/0001193125-04-211891.txt,0
JWN,72333,16-03-2015,https://www.sec.gov/Archives/edgar/data/72333/000007233315000041/0000072333-15-000041.txt,0
PFE,78003,27-03-2000,https://www.sec.gov/Archives/edgar/data/78003/0000930413-00-000548.txt,1
ETR,65984,12-03-1999,https://www.sec.gov/Archives/edgar/data/65984/0000065984-99-000060.txt,0
FL,850209,31-03-2008,https://www.sec.gov/Archives/edgar/data/850209/000120677408000652/0001206774-08-000652.txt,0
TXN,97476,26-02-2008,https://www.sec.gov/Archives/edgar/data/97476/000119312508038572/0001193125-08-038572.txt,0
T,732717,11-03-2004,https://www.sec.gov/Archives/edgar/data/732717/000073271704000205/0000732717-04-000205.txt,1
MO,764180,24-02-2010,https://www.sec.gov/Archives/edgar/data/764180/000119312510039027/0001193125-10-039027.txt,1
SIAL,90185,30-03-2000,https://www.sec.gov/Archives/edgar/data/90185/0000950131-00-002203.txt,1
EXPD,746515,01-03-2007,https://www.sec.gov/Archives/edgar/data/746515/000110465907015464/0001104659-07-015464.txt,1
SYK,310764,27-02-2013,https://www.sec.gov/Archives/edgar/data/310764/000031076413000054/0000310764-13-000054.txt,1
UTX,101829,16-02-1999,https://www.sec.gov/Archives/edgar/data/101829/0000101829-99-000003.txt,1
LUV,92380,07-02-2017,https://www.sec.gov/Archives/edgar/data/92380/000009238017000029/0000092380-17-000029.txt,1
PX,884905,01-03-2006,https://www.sec.gov/Archives/edgar/data/884905/000088490506000030/0000884905-06-000030.txt,1
WM,823768,18-02-2014,https://www.sec.gov/Archives/edgar/data/823768/000119312514056656/0001193125-14-056656.txt,1
MCD,63908,25-02-2016,https://www.sec.gov/Archives/edgar/data/63908/000006390816000103/0000063908-16-000103.txt,1
QCOM,804328,23-11-1998,https://www.sec.gov/Archives/edgar/data/804328/0000936392-98-001564.txt,1
MAS,62996,02-03-2006,https://www.sec.gov/Archives/edgar/data/62996/000095012406000949/0000950124-06-000949.txt,1
PCG,1004980,27-02-2003,https://www.sec.gov/Archives/edgar/data/1004980/000104746903007123/0001047469-03-007123.txt,1
GPC,40987,08-03-2004,https://www.sec.gov/Archives/edgar/data/40987/000095014404002091/0000950144-04-002091.txt,1
MCD,63908,05-03-2004,https://www.sec.gov/Archives/edgar/data/63908/000119312504035282/0001193125-04-035282.txt,1
PNC,713676,12-03-2004,https://www.sec.gov/Archives/edgar/data/713676/000119312504040348/0001193125-04-040348.txt,1
HIG,874766,28-03-1997,https://www.sec.gov/Archives/edgar/data/874766/0000948572-97-000016.txt,1
CCL,815097,24-02-1995,https://www.sec.gov/Archives/edgar/data/815097/0000950144-95-000480.txt,1
IVZ,914208,25-02-2011,https://www.sec.gov/Archives/edgar/data/914208/000095012311018684/0000950123-11-018684.txt,0
AXP,4962,27-03-2003,https://www.sec.gov/Archives/edgar/data/4962/000000496203000042/0000004962-03-000042.txt,1
CCL,815097,28-02-1997,https://www.sec.gov/Archives/edgar/data/815097/0000815097-97-000001.txt,1
INTC,50863,13-02-2015,https://www.sec.gov/Archives/edgar/data/50863/000005086315000015/0000050863-15-000015.txt,0
XOM,34088,27-02-2013,https://www.sec.gov/Archives/edgar/data/34088/000003408813000011/0000034088-13-000011.txt,1
BLK,1364742,28-02-2017,https://www.sec.gov/Archives/edgar/data/1364742/000156459017002816/0001564590-17-002816.txt,1
KEY,91576,28-03-2002,https://www.sec.gov/Archives/edgar/data/91576/000095015202002483/0000950152-02-002483.txt,1
TXN,97476,23-02-1998,https://www.sec.gov/Archives/edgar/data/97476/0000097476-98-000008.txt,1
XRX,108772,16-02-2007,https://www.sec.gov/Archives/edgar/data/108772/000119312507034083/0001193125-07-034083.txt,0
A,1090872,22-12-2014,https://www.sec.gov/Archives/edgar/data/1090872/000109087214000045/0001090872-14-000045.txt,0
PBI,78814,31-03-1997,https://www.sec.gov/Archives/edgar/data/78814/0000078814-97-000001.txt,1
RSG,1060391,23-02-2015,https://www.sec.gov/Archives/edgar/data/1060391/000106039115000010/0001060391-15-000010.txt,1
FTR,20520,01-03-2007,https://www.sec.gov/Archives/edgar/data/20520/000002052007000009/0000020520-07-000009.txt,0
PRU,1137774,25-02-2011,https://www.sec.gov/Archives/edgar/data/1137774/000119312511047467/0001193125-11-047467.txt,0
DIS,1001039,21-11-2012,https://www.sec.gov/Archives/edgar/data/1001039/000119312512479027/0001193125-12-479027.txt,1
SYMC,849399,26-06-2000,https://www.sec.gov/Archives/edgar/data/849399/000089161800003551/0000891618-00-003551.txt,0
FL,850209,29-04-2002,https://www.sec.gov/Archives/edgar/data/850209/000095012302004331/0000950123-02-004331.txt,0
VFC,103379,27-02-2007,https://www.sec.gov/Archives/edgar/data/103379/000089322007000491/0000893220-07-000491.txt,0
CAT,18230,22-02-2011,https://www.sec.gov/Archives/edgar/data/18230/000110465911008938/0001104659-11-008938.txt,0
PCAR,75362,12-03-2004,https://www.sec.gov/Archives/edgar/data/75362/000110465904007210/0001104659-04-007210.txt,1
WFC,72971,26-02-2010,https://www.sec.gov/Archives/edgar/data/72971/000095012310017877/0000950123-10-017877.txt,1
CELG,816284,10-02-2017,https://www.sec.gov/Archives/edgar/data/816284/000081628417000003/0000816284-17-000003.txt,0
HBAN,49196,22-02-2007,https://www.sec.gov/Archives/edgar/data/49196/000095015207001395/0000950152-07-001395.txt,0
